sku_id,competitor_name,competitor_price,date
SKU_1001,MarketLeader,206.35,2025-01-06
SKU_1001,DiscouterPlace,182.38,2025-01-06
SKU_1001,PremiumHub,195.99,2025-01-06
SKU_1001,MarketLeader,197.72,2025-01-13
SKU_1001,DiscouterPlace,221.41,2025-01-13
SKU_1001,PremiumHub,168.87,2025-01-13
SKU_1001,MarketLeader,179.37,2025-01-20
SKU_1001,DiscouterPlace,200.0,2025-01-20
SKU_1001,PremiumHub,169.23,2025-01-20
SKU_1001,MarketLeader,195.35,2025-01-27
SKU_1001,DiscouterPlace,195.88,2025-01-27
SKU_1001,PremiumHub,201.5,2025-01-27
SKU_1001,MarketLeader,207.34,2025-02-03
SKU_1001,DiscouterPlace,196.68,2025-02-03
SKU_1001,PremiumHub,200.01,2025-02-03
SKU_1001,MarketLeader,202.74,2025-02-10
SKU_1001,DiscouterPlace,173.96,2025-02-10
SKU_1001,PremiumHub,168.59,2025-02-10
SKU_1001,MarketLeader,165.85,2025-02-17
SKU_1001,DiscouterPlace,211.78,2025-02-17
SKU_1001,PremiumHub,180.86,2025-02-17
SKU_1001,MarketLeader,183.08,2025-02-24
SKU_1001,DiscouterPlace,216.49,2025-02-24
SKU_1001,PremiumHub,187.09,2025-02-24
SKU_1001,MarketLeader,216.28,2025-03-03
SKU_1001,DiscouterPlace,173.01,2025-03-03
SKU_1001,PremiumHub,194.3,2025-03-03
SKU_1001,MarketLeader,187.73,2025-03-10
SKU_1001,DiscouterPlace,192.23,2025-03-10
SKU_1001,PremiumHub,169.31,2025-03-10
SKU_1001,MarketLeader,174.35,2025-03-17
SKU_1001,DiscouterPlace,202.05,2025-03-17
SKU_1001,PremiumHub,187.04,2025-03-17
SKU_1001,MarketLeader,173.23,2025-03-24
SKU_1001,DiscouterPlace,198.99,2025-03-24
SKU_1001,PremiumHub,186.61,2025-03-24
SKU_1001,MarketLeader,185.29,2025-03-31
SKU_1001,DiscouterPlace,171.09,2025-03-31
SKU_1001,PremiumHub,203.49,2025-03-31
SKU_1001,MarketLeader,187.52,2025-04-07
SKU_1001,DiscouterPlace,200.61,2025-04-07
SKU_1001,PremiumHub,214.56,2025-04-07
SKU_1001,MarketLeader,192.01,2025-04-14
SKU_1001,DiscouterPlace,203.25,2025-04-14
SKU_1001,PremiumHub,174.5,2025-04-14
SKU_1001,MarketLeader,195.65,2025-04-21
SKU_1001,DiscouterPlace,218.14,2025-04-21
SKU_1001,PremiumHub,178.2,2025-04-21
SKU_1001,MarketLeader,192.01,2025-04-28
SKU_1001,DiscouterPlace,185.11,2025-04-28
SKU_1001,PremiumHub,202.16,2025-04-28
SKU_1001,MarketLeader,164.8,2025-05-05
SKU_1001,DiscouterPlace,221.11,2025-05-05
SKU_1001,PremiumHub,192.99,2025-05-05
SKU_1001,MarketLeader,168.18,2025-05-12
